;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Amundi ETF;;;;;
;;;;;;
;NAV STORICHE;;;;;
;;;;;;
;Nome del fondo;Amundi MSCI USA Ex Mega Cap UCITS ETF Acc;;;;
;Codice ISIN;IE000XL4IXU1;;;;
;Indice;MSCI USA Ex Mega Cap Select Net USD Index;;;;
;Metodologia di Replica;Physical;;;;
;Valuta di riferimento;USD;;;;
;;;;;;
;Data di fusione;12/11/2024;;;;
;Data di aggiornamento;22/05/2025;;;;
;;;;;;
;Data di inizio periodo;12/11/2024;;;;
;Data di fine periodo;22/05/2025;;;;
;;;;;;
;Dati ritenuti esatti al 22/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;
;;;;;;
;Si ricorda che i rendimenti passati non sono indicativi né costituiscono una garanzia di risultati futuri. Eventuali guadagni o perdite non tengono conto delle spese, delle commissioni e dei potenziali oneri a carico dell'investitore (quali imposte, commissioni di negoziazione o di altro tipo prelevate dall'intermediario finanziario, etc.).;;;;;
;;;;;;
;Data;NAV ufficiale;Attivi in gestione (mln);;;
;22/05/2025; 9.80;43778 281.16;;;
;21/05/2025; 9.83;43895 200.43;;;
;20/05/2025; 10.03;44804 177.75;;;
;19/05/2025; 10.06;44928 187.76;;;
;16/05/2025; 10.04;44870 718.66;;;
;15/05/2025; 9.95;44452 526.19;;;
;14/05/2025; 9.86;44056 124.66;;;
;13/05/2025; 9.91;44281 681.77;;;
;12/05/2025; 9.88;45403 582.00;;;
;09/05/2025; 9.62;44212 263.87;;;
;08/05/2025; 9.62;44209 735.95;;;
;07/05/2025; 9.55;43899 255.88;;;
;06/05/2025; 9.49;43645 248.38;;;
;05/05/2025; 9.56;43946 167.94;;;
;02/05/2025; 9.59;44075 170.15;;;
;30/04/2025; 9.43;43354 561.78;;;
;29/04/2025; 9.40;43222 667.92;;;
;28/04/2025; 9.33;42908 352.34;;;
;25/04/2025; 9.30;42770 943.80;;;
;24/04/2025; 9.31;42787 384.75;;;
;23/04/2025; 9.13;41985 361.41;;;
;22/04/2025; 9.02;41486 111.02;;;
;17/04/2025; 9.01;41415 160.56;;;
;16/04/2025; 8.96;41172 858.26;;;
;15/04/2025; 9.08;41742 921.27;;;
;14/04/2025; 9.09;41796 821.16;;;
;11/04/2025; 8.99;41309 876.71;;;
;10/04/2025; 8.86;40720 522.99;;;
;09/04/2025; 9.15;42066 822.50;;;
;08/04/2025; 8.46;38884 193.33;;;
;07/04/2025; 8.59;39508 056.68;;;
;04/04/2025; 8.65;39748 707.12;;;
;03/04/2025; 9.21;42321 264.37;;;
;02/04/2025; 9.65;44381 952.36;;;
;01/04/2025; 9.57;43999 438.58;;;
;31/03/2025; 9.55;42793 057.15;;;
;28/03/2025; 9.48;42507 850.69;;;
;27/03/2025; 9.63;42101 072.42;;;
;26/03/2025; 9.68;42283 935.25;;;
;25/03/2025; 9.73;41426 832.98;;;
;24/03/2025; 9.73;41459 842.05;;;
;21/03/2025; 9.58;40794 161.29;;;
;20/03/2025; 9.62;40957 906.27;;;
;19/03/2025; 9.64;15031 252.77;;;
;18/03/2025; 9.56;14899 785.49;;;
;17/03/2025; 9.62;14997 214.87;;;
;14/03/2025; 9.49;13685 123.51;;;
;13/03/2025; 9.30;13410 259.35;;;
;12/03/2025; 9.40;13549 627.93;;;
;11/03/2025; 9.40;13555 666.58;;;
;10/03/2025; 9.50;13695 406.74;;;
;07/03/2025; 9.69;13969 052.24;;;
;06/03/2025; 9.63;13880 222.52;;;
;05/03/2025; 9.79;14111 912.36;;;
;04/03/2025; 9.69;13972 069.46;;;
;03/03/2025; 9.85;14208 122.48;;;
;28/02/2025; 9.96;13311 911.23;;;
;27/02/2025; 9.83;13136 005.87;;;
;26/02/2025; 9.92;13249 211.60;;;
;25/02/2025; 9.91;12192 507.16;;;
;24/02/2025; 9.93;12208 734.49;;;
;21/02/2025; 9.95;12234 002.15;;;
;20/02/2025; 10.11;12433 040.24;;;
;19/02/2025; 10.15;12490 135.58;;;
;18/02/2025; 10.15;11417 471.06;;;
;17/02/2025; 10.07;11330 800.92;;;
;14/02/2025; 10.07;11331 040.30;;;
;13/02/2025; 10.08;11341 920.11;;;
;12/02/2025; 10.00;11253 809.64;;;
;11/02/2025; 10.05;11300 964.87;;;
;10/02/2025; 10.05;11309 933.71;;;
;07/02/2025; 10.00;10199 418.49;;;
;06/02/2025; 10.05;10251 273.75;;;
;05/02/2025; 10.04;10239 857.89;;;
;04/02/2025; 9.97;10164 655.91;;;
;03/02/2025; 9.95;10149 166.33;;;
;31/01/2025; 9.99;10194 041.14;;;
;30/01/2025; 10.06;10259 734.91;;;
;29/01/2025; 9.96;10161 659.16;;;
;28/01/2025; 9.99;9139 599.33;;;
;27/01/2025; 10.01;9155 832.46;;;
;24/01/2025; 10.05;9196 976.40;;;
;23/01/2025; 10.07;9215 982.61;;;
;22/01/2025; 10.00;9152 262.34;;;
;21/01/2025; 10.02;9165 150.85;;;
;20/01/2025; 9.89;9046 920.89;;;
;17/01/2025; 9.89;9047 032.37;;;
;16/01/2025; 9.82;8987 446.13;;;
;15/01/2025; 9.73;8906 332.68;;;
;14/01/2025; 9.61;8795 998.64;;;
;13/01/2025; 9.53;8720 907.31;;;
;10/01/2025; 9.48;8673 537.73;;;
;09/01/2025; 9.63;8809 174.50;;;
;08/01/2025; 9.63;8809 170.47;;;
;07/01/2025; 9.60;8782 950.40;;;
;06/01/2025; 9.65;8832 850.61;;;
;03/01/2025; 9.65;8831 189.25;;;
;02/01/2025; 9.54;8728 552.43;;;
;31/12/2024; 9.54;8732 509.12;;;
;30/12/2024; 9.54;8733 101.39;;;
;27/12/2024; 9.65;8825 363.81;;;
;24/12/2024; 9.72;8889 556.89;;;
;23/12/2024; 9.63;8814 434.24;;;
;20/12/2024; 9.62;8799 545.48;;;
;19/12/2024; 9.49;7635 906.71;;;
;18/12/2024; 9.52;7667 107.04;;;
;17/12/2024; 9.83;7911 114.63;;;
;16/12/2024; 9.90;7968 003.59;;;
;13/12/2024; 9.92;7984 505.09;;;
;12/12/2024; 9.95;8010 182.78;;;
;11/12/2024; 9.99;8040 058.13;;;
;10/12/2024; 9.97;8023 895.11;;;
;09/12/2024; 10.03;7073 966.42;;;
;06/12/2024; 10.12;7137 705.40;;;
;05/12/2024; 10.12;7133 131.34;;;
;04/12/2024; 10.18;7177 760.71;;;
;03/12/2024; 10.15;7154 661.91;;;
;02/12/2024; 10.18;6108 393.99;;;
;29/11/2024; 10.22;6131 400.26;;;
;28/11/2024; 10.19;6112 692.79;;;
;27/11/2024; 10.19;6112 716.40;;;
;26/11/2024; 10.21;6125 021.07;;;
;25/11/2024; 10.21;6125 200.89;;;
;22/11/2024; 10.14;6082 701.62;;;
;21/11/2024; 10.05;6031 676.13;;;
;20/11/2024; 9.92;5951 518.27;;;
;19/11/2024; 9.89;5935 891.32;;;
;18/11/2024; 9.91;5943 801.64;;;
;15/11/2024; 9.86;5914 636.02;;;
;14/11/2024; 9.93;5956 763.60;;;
;13/11/2024; 10.00;6002 720.01;;;
;12/11/2024; 10.00;6000 000.00;;;
;;;;;;
;Fonte : Amundi Asset Management;;;;;
;;;;;;
;"Questo fondo presenta un rischio di perdita in capitale. Gli investitori potrebbero non recuperare tutto o parte del loro investimento iniziale. Il valore di liquidazione di questo fondo potrebbe essere inferiore all’ammontare inizialmente investito. Nello scenario peggiore, gli investitori potrebbero sostenere una perdita pari all’intero investimento effettuato. Si raccomanda di leggere attentamente la sezione “Descrizioni dei rischi” del prospetto del Fondo e la sezione ""Quali sono i rischi e qual è il potenziale rendimento?"" del Key Information Document (KID).";;;;;
;"È vietata la riproduzione senza il consenso scritto di Amundi Asset Management SAS.
Amundi ETF, Indexing & Smart Beta designa l'attività ETF, Indexing & Smart Beta di Amundi Asset Management.
Amundi Asset Management, con un capitale sociale di 1.143.615.555 euro, è un gestore di investimenti regolamentato dall'Autorité des Marchés Financiers francese con il n. GP 04000036, con sede legale a: Milano. GP 04000036, sede legale: 91-93 boulevard Pasteur - 75015 PARIGI - Francia 437 574 452 RCS Paris è la società di gestione del portafoglio del Fondo.";;;;;
