;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Amundi ETF;;;;;
;;;;;;
;NAV STORICHE;;;;;
;;;;;;
;Nome del fondo;Amundi Stoxx Europe 600 UCITS ETF Acc;;;;
;Codice ISIN;LU0908500753;;;;
;Indice;STOXX Europe 600 (Net Return) EUR;;;;
;Metodologia di Replica;Physical;;;;
;Valuta di riferimento;EUR;;;;
;;;;;;
;Data di fusione;08/02/2024;;;;
;Data di aggiornamento;22/05/2025;;;;
;;;;;;
;Data di inizio periodo;03/04/2013;;;;
;Data di fine periodo;22/05/2025;;;;
;;;;;;
;Dati ritenuti esatti al 22/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;
;;;;;;
;Si ricorda che i rendimenti passati non sono indicativi né costituiscono una garanzia di risultati futuri. Eventuali guadagni o perdite non tengono conto delle spese, delle commissioni e dei potenziali oneri a carico dell'investitore (quali imposte, commissioni di negoziazione o di altro tipo prelevate dall'intermediario finanziario, etc.).;;;;;
;;;;;;
;Data;NAV ufficiale;Attivi in gestione (mln);;;
;22/05/2025; 261.97;12128961 374.99;;;
;21/05/2025; 263.62;12165891 046.96;;;
;20/05/2025; 263.67;12165869 686.19;;;
;19/05/2025; 261.73;12062137 102.44;;;
;16/05/2025; 260.91;12024997 032.74;;;
;15/05/2025; 259.73;11970264 761.97;;;
;14/05/2025; 258.07;11876922 220.93;;;
;13/05/2025; 258.62;11900833 778.32;;;
;12/05/2025; 258.23;11862634 403.01;;;
;09/05/2025; 254.96;11646415 561.30;;;
;08/05/2025; 253.72;11588043 873.06;;;
;07/05/2025; 252.51;11518052 679.50;;;
;06/05/2025; 253.84;11529014 621.30;;;
;05/05/2025; 254.24;11547804 173.98;;;
;02/05/2025; 253.56;11455294 440.02;;;
;30/04/2025; 249.19;11257872 317.15;;;
;29/04/2025; 247.93;11182883 783.43;;;
;28/04/2025; 246.94;11120284 119.72;;;
;25/04/2025; 245.63;11036736 466.93;;;
;24/04/2025; 244.64;10966523 337.76;;;
;23/04/2025; 243.62;10766292 804.57;;;
;22/04/2025; 239.34;10499055 126.10;;;
;17/04/2025; 238.37;10458372 729.19;;;
;16/04/2025; 238.63;10461488 409.73;;;
;15/04/2025; 239.09;10408609 330.09;;;
;14/04/2025; 235.17;10228771 480.03;;;
;11/04/2025; 229.00;9902684 224.57;;;
;10/04/2025; 229.15;9808672 594.03;;;
;09/04/2025; 220.82;9412363 438.95;;;
;08/04/2025; 228.79;9641477 507.72;;;
;07/04/2025; 222.67;9380410 678.45;;;
;04/04/2025; 233.14;9836100 480.46;;;
;03/04/2025; 245.41;10351756 237.52;;;
;02/04/2025; 252.13;10614417 046.32;;;
;01/04/2025; 253.36;10666712 926.53;;;
;31/03/2025; 250.67;10553786 402.47;;;
;28/03/2025; 254.48;10700673 097.79;;;
;27/03/2025; 256.36;10682910 387.74;;;
;26/03/2025; 257.22;10708925 866.52;;;
;25/03/2025; 258.95;10780538 573.35;;;
;24/03/2025; 257.23;10709439 038.55;;;
;21/03/2025; 257.56;10723138 095.05;;;
;20/03/2025; 259.01;10696440 837.53;;;
;19/03/2025; 260.13;10742241 268.51;;;
;18/03/2025; 259.61;10683879 143.78;;;
;17/03/2025; 258.04;10558758 163.93;;;
;14/03/2025; 256.01;10448919 792.10;;;
;13/03/2025; 253.13;10213086 873.41;;;
;12/03/2025; 253.46;10188369 809.79;;;
;11/03/2025; 251.41;10035580 485.57;;;
;10/03/2025; 255.67;10201322 266.21;;;
;07/03/2025; 259.02;10307974 670.13;;;
;06/03/2025; 260.23;10289813 154.98;;;
;05/03/2025; 260.12;9770510 500.28;;;
;04/03/2025; 257.77;9640817 284.61;;;
;03/03/2025; 263.42;9823339 287.80;;;
;28/02/2025; 260.62;9673609 712.16;;;
;27/02/2025; 260.59;9671523 274.78;;;
;26/02/2025; 261.72;9587765 977.54;;;
;25/02/2025; 259.15;9493910 101.89;;;
;24/02/2025; 258.79;9471538 947.27;;;
;21/02/2025; 259.00;9479341 194.98;;;
;20/02/2025; 257.67;9415089 515.97;;;
;19/02/2025; 258.04;9426264 104.78;;;
;18/02/2025; 260.40;9512383 608.10;;;
;17/02/2025; 259.59;9482885 656.55;;;
;14/02/2025; 258.17;9430778 975.68;;;
;13/02/2025; 258.72;9451250 763.83;;;
;12/02/2025; 255.88;9347822 972.66;;;
;11/02/2025; 255.59;9335219 779.18;;;
;10/02/2025; 255.01;9313842 033.28;;;
;07/02/2025; 253.51;9259259 271.73;;;
;06/02/2025; 254.50;9271671 758.43;;;
;05/02/2025; 251.55;9163958 727.99;;;
;04/02/2025; 250.38;9117812 256.71;;;
;03/02/2025; 249.81;9097312 394.85;;;
;31/01/2025; 252.00;9176987 236.06;;;
;30/01/2025; 251.67;9164875 640.37;;;
;29/01/2025; 249.53;9087128 158.79;;;
;28/01/2025; 248.29;9042005 876.61;;;
;27/01/2025; 247.39;9009233 363.28;;;
;24/01/2025; 247.57;9015934 248.75;;;
;23/01/2025; 247.70;9020839 095.19;;;
;22/01/2025; 246.63;8981839 040.80;;;
;21/01/2025; 245.66;8946662 902.47;;;
;20/01/2025; 244.68;8908688 294.18;;;
;17/01/2025; 244.52;8902806 251.23;;;
;16/01/2025; 242.85;8840399 110.33;;;
;15/01/2025; 240.48;8751611 868.05;;;
;14/01/2025; 237.32;8616404 822.15;;;
;13/01/2025; 237.52;8623461 388.72;;;
;10/01/2025; 238.83;8671058 773.71;;;
;09/01/2025; 240.82;8742836 298.49;;;
;08/01/2025; 239.79;8704389 241.00;;;
;07/01/2025; 240.26;8720843 609.15;;;
;06/01/2025; 239.49;8692967 010.37;;;
;03/01/2025; 237.24;8608179 018.53;;;
;02/01/2025; 238.40;8649326 336.90;;;
;31/12/2024; 236.92;8595177 495.02;;;
;30/12/2024; 235.63;8548443 723.09;;;
;27/12/2024; 236.71;8588463 649.25;;;
;24/12/2024; 235.14;8531548 617.77;;;
;23/12/2024; 234.72;8516111 130.05;;;
;20/12/2024; 234.39;8503199 463.99;;;
;19/12/2024; 236.47;8576617 600.16;;;
;18/12/2024; 240.07;8706839 863.75;;;
;17/12/2024; 239.71;8693789 367.77;;;
;16/12/2024; 240.71;8730131 550.35;;;
;13/12/2024; 240.97;8734716 734.09;;;
;12/12/2024; 242.26;8781000 596.06;;;
;11/12/2024; 242.61;8793387 748.24;;;
;10/12/2024; 241.92;8790180 308.61;;;
;09/12/2024; 243.18;8838584 653.51;;;
;06/12/2024; 242.84;8806483 719.58;;;
;05/12/2024; 242.39;8790270 082.32;;;
;04/12/2024; 241.41;8808617 805.57;;;
;03/12/2024; 240.52;8800003 286.69;;;
;02/12/2024; 239.60;8766293 046.22;;;
;29/11/2024; 238.01;8708156 949.70;;;
;28/11/2024; 236.63;8657826 266.23;;;
;27/11/2024; 235.51;8616892 020.19;;;
;26/11/2024; 235.94;8632755 348.58;;;
;25/11/2024; 237.28;8681788 932.39;;;
;22/11/2024; 237.14;8676324 796.96;;;
;21/11/2024; 234.36;8574961 957.06;;;
;20/11/2024; 233.38;8538984 986.27;;;
;19/11/2024; 233.43;8540977 788.92;;;
;18/11/2024; 234.47;8578910 147.77;;;
;15/11/2024; 234.45;8578128 076.98;;;
;14/11/2024; 236.27;8644725 502.39;;;
;13/11/2024; 233.67;8549685 773.72;;;
;12/11/2024; 233.96;8560326 322.99;;;
;11/11/2024; 238.69;8733170 597.45;;;
;08/11/2024; 236.01;8736744 652.04;;;
;07/11/2024; 237.53;8793264 805.82;;;
;06/11/2024; 235.99;8736208 213.41;;;
;05/11/2024; 237.26;8783408 833.64;;;
;04/11/2024; 237.09;8777245 332.41;;;
;01/11/2024; 237.88;8806412 113.79;;;
;31/10/2024; 235.31;8711446 108.69;;;
;30/10/2024; 238.14;8815892 313.27;;;
;29/10/2024; 241.11;8925687 628.24;;;
;28/10/2024; 242.49;8976837 957.87;;;
;25/10/2024; 241.48;8939463 893.79;;;
;24/10/2024; 241.57;8942346 003.04;;;
;23/10/2024; 241.49;8939537 392.95;;;
;22/10/2024; 242.23;8966714 685.57;;;
;21/10/2024; 242.74;8985803 873.93;;;
;18/10/2024; 244.35;9045541 573.50;;;
;17/10/2024; 243.84;9026495 808.08;;;
;16/10/2024; 241.82;8951871 548.76;;;
;15/10/2024; 242.28;8968766 884.39;;;
;14/10/2024; 244.20;9044970 206.95;;;
;11/10/2024; 242.91;8996884 360.90;;;
;10/10/2024; 241.57;8947414 151.03;;;
;09/10/2024; 241.99;8962844 789.70;;;
;08/10/2024; 240.40;8904144 066.74;;;
;07/10/2024; 241.68;8951535 578.84;;;
;04/10/2024; 241.25;8935697 981.82;;;
;03/10/2024; 240.19;8896464 135.01;;;
;02/10/2024; 242.44;8979492 689.33;;;
;01/10/2024; 242.32;8974895 824.72;;;
;30/09/2024; 243.23;9008694 978.99;;;
;27/09/2024; 245.66;9098673 566.04;;;
;26/09/2024; 244.49;9055639 399.02;;;
;25/09/2024; 241.39;8940918 021.55;;;
;24/09/2024; 241.62;8949203 605.03;;;
;23/09/2024; 240.03;8890348 106.65;;;
;20/09/2024; 239.06;8853945 150.51;;;
;19/09/2024; 242.51;8981427 757.89;;;
;18/09/2024; 239.18;8858256 889.33;;;
;17/09/2024; 240.39;8902071 246.55;;;
;16/09/2024; 239.33;8862914 503.50;;;
;13/09/2024; 239.71;8817356 308.99;;;
;12/09/2024; 237.91;8709727 651.85;;;
;11/09/2024; 236.03;8636855 114.67;;;
;10/09/2024; 236.00;8635842 389.80;;;
;09/09/2024; 237.28;8667036 264.95;;;
;06/09/2024; 235.34;8215230 219.97;;;
;05/09/2024; 237.89;8304281 487.85;;;
;04/09/2024; 239.15;8345800 343.94;;;
;03/09/2024; 241.50;8427093 205.44;;;
;02/09/2024; 243.86;8508552 523.99;;;
;30/08/2024; 243.88;8508374 777.87;;;
;29/08/2024; 243.64;8495513 368.42;;;
;28/08/2024; 241.75;8421181 490.41;;;
;27/08/2024; 240.97;8368461 406.19;;;
;26/08/2024; 240.58;8354940 336.41;;;
;23/08/2024; 240.62;8356403 139.04;;;
;22/08/2024; 239.51;8316328 438.45;;;
;21/08/2024; 238.65;8286632 673.14;;;
;20/08/2024; 237.87;8257836 722.02;;;
;19/08/2024; 238.91;8291544 974.44;;;
;16/08/2024; 237.43;8229051 216.28;;;
;15/08/2024; 236.69;8203672 995.08;;;
;14/08/2024; 233.78;8100415 731.88;;;
;13/08/2024; 232.68;8012036 047.10;;;
;12/08/2024; 231.49;7969660 216.63;;;
;09/08/2024; 231.57;7966525 510.48;;;
;08/08/2024; 230.26;7917643 167.16;;;
;07/08/2024; 229.95;7893363 515.99;;;
;06/08/2024; 226.45;7767719 806.82;;;
;05/08/2024; 225.81;7722284 559.39;;;
;02/08/2024; 230.81;7863682 846.34;;;
