;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi MSCI USA Ex Mega Cap UCITS ETF Acc;;;;;
;Codice ISIN;IE000XL4IXU1;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 21/05/2025;43,78 mln USD;;;;;
;Valuta di riferimento;USD;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 21/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;US81762P1021;SERVICENOW INC;EQUITY;USD; 0.91%;Information Technology;Stati Uniti
;US2546871060;WALT DISNEY CO/THE;EQUITY;USD; 0.87%;Servizi di comunicazione;Stati Uniti
;US00206R1023;AT&T INC;EQUITY;USD; 0.86%;Servizi di comunicazione;Stati Uniti
;US46120E6023;INTUITIVE SURGICAL INC;EQUITY;USD; 0.85%;Sanità;Stati Uniti
;US38141G1040;GOLDMAN SACHS GROUP INC;EQUITY;USD; 0.81%;Finanziari;Stati Uniti
;US4612021034;INTUIT INC;EQUITY;USD; 0.81%;Information Technology;Stati Uniti
;US92343V1044;VERIZON COMMUNICATIONS INC;EQUITY;USD; 0.80%;Servizi di comunicazione;Stati Uniti
;US75513E1010;RTX CORP;EQUITY;USD; 0.79%;Industrali;Stati Uniti
;US09857L1089;BOOKING HOLDINGS INC;EQUITY;USD; 0.76%;Beni voluttuari;Stati Uniti
;US8825081040;TEXAS INSTRUMENTS  COM USD1;EQUITY;USD; 0.74%;Information Technology;Stati Uniti
;US90353T1007;UBER TECHNOLOGIES INC;EQUITY;USD; 0.73%;Industrali;Stati Uniti
;US1491231015;CATERPILLAR INC;EQUITY;USD; 0.73%;Industrali;Stati Uniti
;US7433151039;PROGRESSIVE CORP;EQUITY;USD; 0.72%;Finanziari;Stati Uniti
;US78409V1044;S&P GLOBAL INC;EQUITY;USD; 0.71%;Finanziari;Stati Uniti
;US0258161092;AMERICAN EXPRESS;EQUITY;USD; 0.70%;Finanziari;Stati Uniti
;US0970231058;BOEING CO/THE;EQUITY;USD; 0.67%;Industrali;Stati Uniti
;US1011371077;BOSTON SCIENTIFIC CORP;EQUITY;USD; 0.66%;Sanità;Stati Uniti
;US8085131055;SCHWAB (CHARLES) CORP;EQUITY;USD; 0.66%;Finanziari;Stati Uniti
