;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Prime Global UCITS ETF Acc;;;;;
;Codice ISIN;IE0009DRDY20;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 21/05/2025;1.815,65 mln USD;;;;;
;Valuta di riferimento;USD;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 21/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;US5949181045;MICROSOFT CORP;EQUITY;USD; 4.68%;Information Technology;Stati Uniti
;US67066G1040;NVIDIA CORP;EQUITY;USD; 4.39%;Information Technology;Stati Uniti
;US0378331005;APPLE INC;EQUITY;USD; 4.16%;Information Technology;Stati Uniti
;US0231351067;AMAZON.COM INC;EQUITY;USD; 2.68%;Beni voluttuari;Stati Uniti
;US30303M1027;META PLATFORMS INC-CLASS A;EQUITY;USD; 1.95%;Servizi di comunicazione;Stati Uniti
;US11135F1012;BROADCOM INC;EQUITY;USD; 1.49%;Information Technology;Stati Uniti
;US02079K3059;ALPHABET INC CL A;EQUITY;USD; 1.38%;Servizi di comunicazione;Stati Uniti
;US88160R1014;TESLA INC;EQUITY;USD; 1.33%;Beni voluttuari;Stati Uniti
;US02079K1079;ALPHABET INC CL C;EQUITY;USD; 1.22%;Servizi di comunicazione;Stati Uniti
;US46625H1005;JPMORGAN CHASE & CO;EQUITY;USD; 1.03%;Finanziari;Stati Uniti
;US0846707026;BERKSHIRE HATHAWAY INC-CL B;EQUITY;USD; 0.95%;Finanziari;Stati Uniti
;US92826C8394;VISA INC-CLASS A SHARES;EQUITY;USD; 0.87%;Finanziari;Stati Uniti
;US5324571083;ELI LILLY & CO;EQUITY;USD; 0.86%;Sanità;Stati Uniti
;US64110L1061;NETFLIX INC;EQUITY;USD; 0.70%;Servizi di comunicazione;Stati Uniti
;;;CASH;USD; 0.68%; ; 
;US57636Q1040;MASTERCARD INC-CL A;EQUITY;USD; 0.65%;Finanziari;Stati Uniti
;US22160K1051;COSTCO WHOLESALE CORP;EQUITY;USD; 0.64%;Beni di prima necessità;Stati Uniti
;US30231G1022;EXXON MOBIL CORP;EQUITY;USD; 0.63%;Energia;Stati Uniti
;DE000C60N240;MSCI WORLD INDEX (USD,NTR) 06/25 EUREX;FUTURE;USD; 0.63%;;Stati Uniti
